Author;Work;Location;Text;MVI;SID
Antiphon (0028);On the Murder of Herodes (005);16.4;πλέον εἶναι μηδ’ ἀποφυγόντι, ἀλλ’ ἐξεῖναί σοι λέγειν ὅτι κακοῦργος ἀπέφυγον, ἀλλ’ οὐ τοῦ φόνου τὴν δίκην·;ἔξεστι;50
Aristides, Aelius (0284);Orationes 45 Dindorf 2 Keil (045);80.4;ἡμῶν δέ γε οὐχ οἱ πρόγονοι, φαῖεν ἂν, ἀλλ’ ἡμεῖς αὐτοὶ τοῖς ἡμετέροις αὐτῶν ἔργοις καὶ βουλεύμασι καὶ λόγοις ἀπὸ τῶν βαρβάρων τοὺς Ἕλληνας ἐσώσαμεν, οὐ τὸ ἐν Σικελίᾳ κατοικοῦν μέρος αὐτῶν, ἀλλὰ τοὺς σύμπαντας καὶ τοὺς τῆς ἁπάσης οἰκουμένης τὸ ἕτερον μέρος νομισθέντας, ἐξ οὗ τότε τοῖς βαρβάροις ἀντάραντες ἐώσαντο, ὥστ’ ἐξεῖναί σοι περὶ πολιτείας νῦν ποιεῖσθαι λόγους, καὶ περὶ αὐτῶν ἡμῶν, ἔρρουσι δὲ τότε οὔτε λόγος οὔτ’ ἐλπὶς ἐλείπετ’ ἂν οὐδαμῆ οὐδαμῶς.;ἔξεστι;999
Demosthenes (0014);Against Aristocrates (023);61.5;"εἶτ’ οὐ δεινόν, ὦ γῆ καὶ θεοί, καὶ φανερῶς παράνομον, οὐ μόνον παρὰ τὸν γεγραμμένον νόμον, ἀλλὰ καὶ παρὰ τὸν κοινὸν ἁπάντων ἀνθρώπων, τὸν ἄγοντ’ ἢ φέροντα βίᾳ τἄμ’ ἐν πολεμίου μοίρᾳ μὴ ἐξεῖναί μοι ἀμύνεσθαι, εἴ γε μηδὲ τοῦτον τὸν τρόπον ἐξέσται Χαρίδημον ἀποκτεῖναι, ἀλλά, ἐὰν ἀδικῶν ἄγῃ καὶ φέρῃ βίᾳ τά τινος λῃζόμενος, ἀγώγιμος ὁ κτείνας ἔσται, τοῦ νόμου διδόντος, ἐὰν ἐπὶ τούτοις, ἀθῷον εἶναι;";ἔξεστι;239
Lysias (0540);Against Simon (003);44.4;ἐβουλόμην δ’ ἂν ἐξεῖναί μοι παρ’ ὑμῖν καὶ ἐκ τῶν ἄλλων ἐπιδεῖξαι τὴν τούτου πονηρίαν, ἵνα ἠπίστασθε ὅτι πολὺ ἂν δικαιότερον αὐτὸς περὶ θανάτου ἠγωνίζετο ἢ ἑτέρους ὑπὲρ τῆς πατρίδος εἰς κίνδυνον καθίστη.;ἔξεστι;89
Plato (0059);Gorgias (023);468.e.6;ὡς δὴ σύ, ὦ Σώκρατες, οὐκ ἂν δέξαιο ἐξεῖναί σοι ποιεῖν ὅτι δοκεῖ σοι ἐν τῇ πόλει μᾶλλον ἢ μή, οὐδὲ ζηλοῖς ὅταν ἴδῃς τινὰ ἢ ἀποκτείναντα ὃν ἔδοξεν αὐτῷ ἢ ἀφελόμενον χρήματα ἢ δήσαντα.;ἔξεστι;625
Plato (0059);Laws (034);928.d.5;διαφοραὶ πατέρων τε πρὸς αὑτῶν παῖδας γίγνονται καὶ παίδων πρὸς γεννητὰς μείζους ἢ χρεών, ἐν αἷς οἵ τε πατέρες ἡγοῖντ’ ἂν δεῖν τὸν νομοθέτην νομοθετεῖν ἐξεῖναί σφισιν, ἐὰν βούλωνται, τὸν ὑὸν ὑπὸ κήρυκος ἐναντίον ἁπάντων ἀπειπεῖν ὑὸν κατὰ νόμον μηκέτ’ εἶναι, ὑεῖς τ’ αὖ σφίσι πατέρας ὑπὸ νόσων ἢ γήρως διατιθεμένους αἰσχρῶς ἐξεῖναι παρανοίας γράφεσθαι·;ἔξεστι;4515
Xenophon (0032);Anabasis (006);3.1.22.3;ὥστε ἐξεῖναί μοι δοκεῖ ἰέναι ἐπὶ τὸν ἀγῶνα πολὺ σὺν φρονήματι μείζονι ἢ τούτοις.;ἔξεστι;1114
Xenophon (0032);Memorabilia (002);2.6.36.7;ἃ δὴ καὶ ἐγὼ πεισθεὶς ὀρθῶς ἔχειν ἡγοῦμαι οὐκ ἐξεῖναί μοι περὶ σοῦ λέγειν ἐπαινοῦντι οὐδὲν ὅ τι ἂν μὴ ἀληθεύω.;ἔξεστι;813
Aeschines (0026);Against Timarchus (001);34.7;τὸν γὰρ περὶ τῆς προεδρίας τῶν φυλῶν νόμον Τίμαρχος οὑτοσὶ καὶ ἕτεροι τοιοῦτοι ῥήτορες συνελθόντες γεγραμμένοι εἰσὶ μὴ ἐπιτήδειον εἶναι, ἔν’ ἐξῇ αὐτοῖς καὶ ζῆν καὶ λέγειν ὡς αὐτοὶ βούλονται.;ἔξεστι;128
Andocides (0027);On the Mysteries (001);86.5;ἐπειδὴ τοίνυν ἑωρῶμεν ὅτι πολλοῖς τῶν πολιτῶν εἶεν συμφοραί, τοῖς μὲν κατὰ νόμους, τοῖς δὲ κατὰ ψηφίσματα πρότερον γενόμενα, τουτουσὶ τοὺς νόμους ἐθέμεθα, αὐτῶν ἕνεκα τῶν νυνὶ ποιουμένων, ἵνα τούτων μηδὲν γίγνηται μηδὲ ἐξῇ συκοφαντεῖν μηδενί.;ἔξεστι;305
Aristides, Aelius (0284);Orationes 30 Dindorf 6 Keil (030);386.17;οἱ γὰρ ὑπὲρ τοῦ πλείονος πόλεμοι τοῦτον ἔχουσι τὸν νοῦν, ἂν μὲν ἐξῇ λαβεῖν, τολμᾶν, εἰ δὲ μὴ, τό γε δεύτερον, μὴ χείρω τἀρχαῖα ποιῆσαι·;ἔξεστι;144
Aristides, Aelius (0284);Orationes 30 Dindorf 6 Keil (030);388.35;ἐν οἷς δὲ ἐγὼ λέγω πάντα ἐφ’ ὑμῖν μετὰ τοῦ καιροῦ γίγνεται, καὶ τὸ λαβεῖν Σικελίαν, ἐὰν ἐξῇ, καὶ τὸ αὐτούς γε εἶναι σῶς, ἐὰν ἄρα ἐκεῖνο μόνον μὴ συμβῇ.;ἔξεστι;174
Aristides, Aelius (0284);Orationes 31 Dindorf 7 Keil (031);395.21;οἱ δὲ τὰς σεμνὰς ἐκείνας ἐπαγγελίας ἐπαγγελλόμενοι καὶ δελεάζοντες τοὺς Ἕλληνας τῷ τῆς ἐλευθερίας ὀνόματι, οὗτοι νῦν ἐὰν αὐτοῖς αὐτονόμοις ἐξῇ τὴν ἑαυτῶν οἰκεῖν, ἀγαπᾶν ὁμολογοῦσι καὶ οἱ περὶ τῆς ἡγεμονίας ἀμφισβητήσαντες ὑμῖν βεβαιωταὶ μᾶλλον αὐτῆς γεγόνασι.;ἔξεστι;48
Aristides, Aelius (0284);Orationes 39 Dindorf 10 Keil (039);502.8;"ἔπειτα πῶς ὑμῖν γε θαρρεῖν ὑπὲρ τῆς ἐλευθερίας ἔξεστιν, ὅταν μηδὲ δουλεύειν ἀλλήλοις ἐξῇ, ἀλλὰ δέῃ καθάπαξ ἀπολωλέναι Φίλιππον, ἔγωγε προσθείην ἂν, ὦ Ζεῦ;";ἔξεστι;144
Aristides, Aelius (0284);Orationes 40 Dindorf 29 Keil (040);510.11;ἵν’ ἐξῇ τοῖς νέοις ἀσκεῖν ἀδεῶς τὰ βελτίω.;ἔξεστι;60
Aristides, Aelius (0284);Orationes 53 Dindorf 53 Keil (sp.) (053);8.22;ἂν δ’ ἄρ’ ἀμφότερα μὴ ἐξῇ, καὶ δίκαια πράττειν καὶ συμφέροντα αὑτοῖς, οἱ δ’ αἱροῦνται συμφέροντα μᾶλλον ἢ δίκαια πράττειν.;ἔξεστι;62
Aristophanes (0019);Plutus (011);512;"ἀμφοῖν δ’ ὑμῖν τούτοιν ἀφανισθέντοιν ἐθελήσει τίς χαλκεύειν ἢ ναυπηγεῖν ἢ ῥάπτειν ἢ τροχοποιεῖν, ἢ σκυτοτομεῖν ἢ πλινθουργεῖν ἢ πλύνειν ἢ σκυλοδεψεῖν, ἢ γῆς ἀρότροις ῥήξας δάπεδον καρπὸν Δηοῦς θερίσασθαι, ἢν ἐξῇ ζῆν ἀργοῖς ὑμῖν πάντων ἀμελοῦσιν;";ἔξεστι;430
Demosthenes (0014);Against Aristogeiton 1 (025);75.4;ἀλλ’ ὅταν, οἷς ἐκ τῶν νόμων μὴ ἔξεστιν, ἐκ τῶν ὑμετέρων βουλήσεων ἐξῇ, ὅταν ἡ μὲν πονηρία τιμᾶται, τὰ χρηστὰ δ’ ἀπορρίπτηται, ὅταν τὸ δίκαιον καὶ τὸ συμφέρον ἡττᾶται τοῦ φθόνου, τότ’ ἄνω κάτω πάντα χρὴ νομίζειν τετράφθαι.;ἔξεστι;273
Demosthenes (0014);Against Timocrates (024);34.6;πρῶτον μὲν ἵν’ ὑμῖν ἐξῇ τὰ δίκαια ψηφίζεσθαι μετ’ εὐσεβείας.;ἔξεστι;106
Demosthenes (0014);On the Accession of Alexander (017);25.1;ἕως γὰρ ἂν ἐξῇ τῶν κατὰ θάλατταν καὶ μόνοις ἀναμφισβητήτως εἶναι κυρίοις, τοῖς γε κατὰ γῆν πρὸς τῇ ὑπαρχούσῃ δυνάμει ἔστι προβολὰς ἑτέρας ἰσχυροτέρας εὑρέσθαι, ἄλλως τε καὶ πεπαυμένων ὑπὸ τῆς τύχης τῶν δορυφορουμένων ὑπὸ τῶν τυραννικῶν στρατοπέδων, καὶ τῶν μὲν ἐφθαρμένων, τῶν δὲ ἐξεληλεγμένων οὐδενὸς ἀξίων ὄντων.;ἔξεστι;61
Herodotus (0016);Histories (001);8.40.3;τῶνδε δὲ εἵνεκα ἀνῆγον τὰς νέας, ἵνα δὴ τοῖσι Ἕλλησι μηδὲ φυγεῖν ἐξῇ, ἀλλ’ ἀπολαμφθέντες ἐν τῇ Σαλαμῖνι δοῖεν τίσιν τῶν ἐπ’ Ἀρτεμισίῳ ἀγωνισμάτων.;ἔξεστι;8867
Isocrates (0010);Archidamus (016);4.5;"ἐπειδὴ δ’ οὐ τῷ πλήθει τῶν ἐτῶν πρὸς τὸ φρονεῖν εὖ διαφέρομεν ἀλλήλων, ἀλλὰ τῇ φύσει καὶ ταῖς ἐπιμελείαις, πῶς οὐκ ἀμφοτέρων χρὴ τῶν ἡλικιῶν πεῖραν λαμβάνειν, ἵν’ ἐξ ἁπάντων ὑμῖν ἐξῇ τῶν ῥηθέντων ἑλέσθαι τὰ συμφορώτατα;";ἔξεστι;6
Lysias (0540);Against Nicomachus (030);30.3;νῦν τοίνυν ὑμῖν μεταμελησάτω τῶν πεπραγμένων, καὶ μὴ ὑπὸ τούτων ἀεὶ κακῶς πάσχοντες ἀνέχεσθε, μηδὲ ἰδίᾳ μὲν ὀνειδίζετε τοῖς ἀδικοῦσιν, ἐπειδὰν δ’ ἐξῇ δίκην παρ’ αὐτῶν λαμβάνειν, ἀποψηφίζεσθε.;ἔξεστι;80
Plato (0059);Euthydemus (021);301.e.10;"ἆρ’ οὖν, ἔφη, ταῦτα ἡγῇ σὰ εἶναι, ὧν ἂν ἄρξῃς καὶ ἐξῇ σοι αὐτοῖς χρῆσθαι ὅτι ἂν βούλῃ;";ἔξεστι;1029
Plato (0059);Euthydemus (021);302.e.3;—τῶν δέ γε ζῴων, ἔφη, ὡμολόγηκας ταῦτ’ εἶναι σά, ὅσα ἄν σοι ἐξῇ καὶ δοῦναι καὶ ἀποδόσθαι καὶ θῦσαι δὴ θεῷ ὅτῳ ἂν βούλῃ.;ἔξεστι;1064
Plato (0059);Laws (034);918.c.9;ὦ φίλε Κλεινία, σμικρὸν γένος ἀνθρώπων καὶ φύσει ὀλίγον καὶ ἄκρᾳ τροφῇ τεθραμμένον, ὅταν εἰς χρείας τε καὶ ἐπιθυμίας τινῶν ἐμπίπτῃ, καρτερεῖν πρὸς τὸ μέτριον δυνατόν ἐστιν, καὶ ὅταν ἐξῇ χρήματα λαβεῖν πολλά, νήφει καὶ πρότερον αἱρεῖται τοῦ πολλοῦ τὸ τοῦ μέτρου ἐχόμενον·;ἔξεστι;4397
Thucydides (0003);History (001);1.77.2.4;βιάζεσθαι γὰρ οἷς ἂν ἐξῇ, δικάζεσθαι οὐδὲν προσδέονται.;ἔξεστι;479
Xenophon (0032);Economics (003);7.41.1;ἄλλαι δέ τοι, ἔφην ἐγώ, ἴδιαι ἐπιμέλειαι, ὦ γύναι, ἡδεῖαί σοι γίγνονται, ὁπόταν ἀνεπιστήμονα ταλασίας λαβοῦσα ἐπιστήμονα ποιήσῃς καὶ διπλασίου σοι ἀξία γένηται, καὶ ὁπόταν ἀνεπιστήμονα ταμιείας καὶ διακονίας παραλαβοῦσα ἐπιστήμονα καὶ πιστὴν καὶ διακονικὴν ποιησαμένη παντὸς ἀξίαν ἔχῃς, καὶ ὁπόταν τοὺς μὲν σώφρονάς τε καὶ ὠφελίμους τῷ σῷ οἴκῳ ἐξῇ σοι εὖ ποιῆσαι, ἐὰν δέ τις πονηρὸς φαίνηται, ἐξῇ σοι κολάσαι·;ἔξεστι;395
Xenophon (0032);Hiero (008);6.11.3;πιστὸν δὲ ἕνα πολὺ χαλεπώτερον εὑρεῖν ἢ πάνυ πολλοὺς ἐργάτας ὁποίου βούλει ἔργου, ἄλλως τε καὶ ὁπόταν χρημάτων μὲν ἕνεκα παρῶσιν οἱ φυλάττοντες, ἐξῇ δ’ αὐτοῖς ἐν ὀλίγῳ χρόνῳ πολὺ πλείω λαβεῖν ἀποκτείνασι τὸν τύραννον ἢ ὅσα πολὺν χρόνον φυλάττοντες παρὰ τοῦ τυράννου λαμβάνουσιν.;ἔξεστι;191
Xenophon (0032);Memorabilia (002);2.5.4.5;ἐγὼ γάρ τοι, ἔφη, πολλάκις ἀκούων τοῦ μὲν ὅτι προύδωκεν αὐτὸν φίλος ἀνήρ, τοῦ δ’ ὅτι μνᾶν ἀνθ’ ἑαυτοῦ μᾶλλον εἵλετο ἀνήρ, ὃν ᾤετο φίλον εἶναι, τὰ τοιαῦτα πάντα σκοπῶ, μή, ὥσπερ ὅταν τις οἰκέτην πονηρὸν πωλῇ καὶ ἀποδίδοται τοῦ εὑρόντος, οὕτω καὶ τὸν πονηρὸν φίλον, ὅταν ἐξῇ τὸ πλέον τῆς ἀξίας λαβεῖν, ἐπαγωγὸν ᾖ ἀποδίδοσθαι·;ἔξεστι;685
Aeschines (0026);Against Ctesiphon (003);73.5;ὁ γὰρ μισαλέξανδρος καὶ μισοφίλιππος ἡμῖν οὑτοσὶ ῥήτωρ δὶς ἐπρέσβευσεν εἰς Μακεδονίαν, ἐξὸν μηδὲ ἅπαξ, ὁ νυνὶ κελεύων τῶν Μακεδόνων καταπτύειν.;ἔξεστι;230
Aeschylus (0085);Prometheus Bound (003);645;"αἰεὶ γὰρ ὄψεις ἔννυχοι πωλεύμεναι ἐς παρθενῶνας τοὺς ἐμοὺς παρηγόρουν λείοισι μύθοις ὦ μέγ’ εὔδαιμον κόρη, τί παρθενεύει δαρόν, ἐξόν σοι γάμου τυχεῖν μεγίστου;";ἔξεστι;333
Andocides (0027);Against Alcibiades (004);4.6;τῶν μὲν γὰρ ἰδίων ἀδικημάτων μεγάλην τιμωρίαν ταύτην νομίζω, τῶν δὲ δημοσίων μικρὰν καὶ οὐδενὸς ἀξίαν ἡγοῦμαι ζημίαν, ἐξὸν κολάζειν χρήμασι καὶ δεσμῷ καὶ θανάτῳ.;ἔξεστι;12
Andocides (0027);Against Alcibiades (004);20.2;κελεύοντος δὲ τοῦ νόμου τῶν χορευτῶν ἐξάγειν ὃν ἄν τις βούληται ξένον ἀγωνιζόμενον, οὐκ ἐξὸν ἐπιχειρήσαντα κωλύειν, ἐναντίον ὑμῶν καὶ τῶν ἄλλων Ἑλλήνων τῶν θεωρούντων καὶ τῶν ἀρχόντων ἁπάντων παρόντων τῶν ἐν τῇ πόλει τύπτων ἐξήλασεν αὐτόν, καὶ τῶν θεατῶν συμφιλονικούντων ἐκείνῳ καὶ μισούντων τοῦτον, ὥστε τῶν χορῶν τὸν μὲν ἐπαινούντων, τοῦ δ’ ἀκροάσασθαι οὐκ ἐθελόντων, οὐδὲν πλέον ἔπραξεν·;ἔξεστι;64
Andocides (0027);On His Return (002);26.3;τάδε γὰρ οὐ ψευσαμένῳ μοι λαθεῖν οἷόν τ’ ἐστι τούς γε πρεσβυτέρους ὑμῶν, ὅτι ὁ τοῦ ἐμοῦ πατρὸς πάππος Λεωγόρας στασιάσας πρὸς τοὺς τυράννους ὑπὲρ τοῦ δήμου, ἐξὸν αὐτῷ διαλλαχθέντι τῆς ἔχθρας καὶ γενομένῳ κηδεστῇ ἄρξαι μετ’ ἐκείνων τῶν ἀνδρῶν τῆς πόλεως, εἵλετο μᾶλλον ἐκπεσεῖν μετὰ τοῦ δήμου καὶ φεύγων κακοπαθεῖν μᾶλλον ἢ προδότης αὐτῶν καταστῆναι.;ἔξεστι;84
Antiphon (0028);On the Choreutes (006);44.1;ἐπειδὴ δὲ οὑτοσὶ ὁ βασιλεὺς εἰσῆλθεν, ἐξὸν ἀυτοῖς ἀπὸ τῆς πρώτης ἡμέρας ἀρξαμένοις τοῦ Ἑκατομβαιῶνος μηνὸς τριάκονθ’ ἡμέρας συνεχῶς τούτων ᾗτινι ἐβούλοντο ἀπογράφεσθαι, ἀπεγράφοντο οὐδεμιᾷ·;ἔξεστι;130
Antiphon (0028);On the Choreutes (006);44.1;καὶ αὖθις τοῦ Μεταγειτνιῶνος μηνὸς ἀπὸ τῆς πρώτης ἡμέρας ἀρξαμένοις ἐξὸν αὐτοῖς ἀπογράφεσθαι λτᾗγττινι ἐβούλοντο, οὐδ’ αὖ πω ἐνταῦθα ἀπεγράψαντο, ἀλλὰ παρεῖσαν καὶ τούτου τοῦ μηνὸς εἴκοσιν ἡμέρας·;ἔξεστι;131
Antiphon (0028);On the Choreutes (006);44.8;ὥστε αἱ σύμπασαι ἡμέραι ἐγένοντο αὐτοῖς πλεῖν ἢ πεντήκοντα ἐπὶ τούτου τοῦ βασιλέως, ἐν αἷς ἐξὸν αὐτοῖς ἀπογράψασθαι οὐκ ἀπεγράψαντο.;ἔξεστι;132
Antiphon (0028);On the Choreutes (006);45.2;καὶ οὗτοι παρόντες καὶ ἐπιδημοῦντες, ἐξὸν αὐτοῖς ἀπογράφεσθαι καὶ εἴργειν ἐμὲ τούτων ἁπάντων, οὐκ ἠξίουν ἀπογράφεσθαι·;ἔξεστι;134
Antiphon (0028);On the Murder of Herodes (005);61.2;ἐξὸν γὰρ αὐτῷ ἐν ἀγῶνι καὶ κινδύνῳ μεγάλῳ καταστήσαντι μετὰ τῶν νόμων τῶν ὑμετέρων ἀπολέσαι ἐκεῖνον, εἴπερ προωφείλετο αὐτῷ κακόν, καὶ τό τε ἴδιον τὸ αὑτοῦ διαπράξασθαι καὶ τῇ πόλει τῇ ὑμετέρᾳ χάριν καταθέσθαι, εἰ ἐπέδειξεν ἀδικοῦντα ἐκεῖνον, οὐκ ἠξίωσεν, ἀλλ’ οὐδ’ ἦλθεν ἐπὶ τοῦτον.;ἔξεστι;223
Aristides, Aelius (0284);Orationes 11 Dindorf 31 Keil (011);76.24;ὅς γε τῆς μὲν μητρὸς οὕτως εἴχετο ὥσπερ οἱ πρὸς τῷ μαστῷ παῖδες, τὸν δὲ ἀδελφὸν ὡς παῖδα ἠσπάζετο, τῶν δὲ μαθημάτων οὕτως εἴχετο ὥσπερ οὐκ ἐξὸν ἄλλως αὐτὸν ζῆν.;ἔξεστι;18
Aristides, Aelius (0284);Orationes 13 Dindorf 1 Keil (013);174.11;ὃ δὲ δὴ μάλιστα ἄξιον τῆς ἐκείνων φύσεως ἀγασθῆναι καὶ κρεῖττον ἢ κατ’ ἄνθρωπον ἡγήσασθαι, ἐξὸν γὰρ αὑτοῖς ἀκολουθοῦντας ἔχειν Λακεδαιμονίους καὶ κατὰ γῆν καὶ κατὰ θάλατταν, ἢ περιιδεῖν ἐπὶ κεφαλὴν ὠσθέντας, συμμάχων, περιοίκων, οἰκετῶν, ἁπάντων ἐπανεστηκότων, ἐπὶ τοῖς ἴσοις ἐδέξαντο, καὶ πορευομένης ὥσπερ φλογὸς τῆς Θηβαίων δυνάμεως ἐπὶ τὴν πόλιν τῶν Λακεδαιμονίων καὶ τὰ λοιπὰ τῆς Πελοποννήσου μόνοι καὶ Ἑλλήνων καὶ βαρβάρων προστάντες ἐκώλυσαν.;ἔξεστι;856
Aristides, Aelius (0284);Orationes 30 Dindorf 6 Keil (030);386.13;διὰ γὰρ ἐκείνους φεύγειν ἠναγκάσμεθα, ὡς αὐτοὶ λέγουσι, ἐξὸν κατὰ χώρας ἐξ ἀρχῆς μένειν.;ἔξεστι;139
Aristides, Aelius (0284);Orationes 30 Dindorf 6 Keil (030);388.9;οὗτοι μὲν οὖν φοβοῦνται μὴ φεύγειν δοκῶμεν, ἐγὼ δὲ ἀπεύχομαι μὲν τοῦ λόγου τὴν ἀλήθειαν, τὸν ἐναντίον δὲ φοβοῦμαι φόβον μὴ πλεονάζοντες, εἶτ’ οὐ δυνηθῶμεν φεύγειν, ἀλλὰ πάθωμεν ταυτὸν τοῖς περὶ τοὺς κύβους φιλονεικοῦσιν, οἷς ἐξὸν παριδεῖν ὅσον ἐζημιώθησαν, εἶτα ἀθώοις εἶναι τοῦ πλείονος, ἡ μετὰ τῆς ὀργῆς ἔρις τὴν εἰς τοὔσχατον ἤνεγκε βλάβην.;ἔξεστι;167
Aristides, Aelius (0284);Orationes 31 Dindorf 7 Keil (031);392.34;ἐξὸν γὰρ αὐτοῖς, εἰ μετριάζειν ἠξίουν, αὐτούς τ’ ἐξ ἀρχῆς ἔχειν καὶ ἑτέροις ταῦτα βραβεύειν, ἐπαρθέντες τοῖς ὑπάρχουσιν, εἰ νῦν δυνήσονται παρ’ ὑμῶν τῶν αὐτῶν τούτων τυχεῖν, εὕρημα ποιοῦνται.;ἔξεστι;18
Aristides, Aelius (0284);Orationes 31 Dindorf 7 Keil (031);394.1;μὴ τοίνυν ἐξὸν ἅπασι κρατεῖν, καὶ ἐν οἷς νενικήκαμεν καὶ ἐν οἷς προειλόμεθα, ταῦτ’ εἰς ἄδηλον τρέψωμεν.;ἔξεστι;29
Aristides, Aelius (0284);Orationes 31 Dindorf 7 Keil (031);394.29;καὶ μὴν τὸ μὲν ἐξὸν ὅλως κρατῆσαι τραπέσθαι πρὸς τὴν εἰρήνην ἀντίρροπον τῆς πλεονεξίας ἔχει τὴν δόξαν τὴν ἐπὶ τῷ τὸ κοινῇ βέλτιστον ᾑρῆσθαι καὶ περὶ πλείονος ποιεῖσθαι τὸ τὴν Ἑλλάδα σῶσαι τοῦ διαφθεῖραι τοὺς ἀνταγωνιστὰς, τὸ δ’ ἄδηλον τοῦ μέλλοντος συμβήσεσθαι μὴ φυλάξασθαι πάσης ἔξω παραμυθίας ἐστίν.;ἔξεστι;38
Aristides, Aelius (0284);Orationes 31 Dindorf 7 Keil (031);398.7;ἀλλ’ ἐκλείπειν μέν ποτε τὴν πόλιν καὶ προΐεσθαι καὶ ἱερὰ καὶ τάφους καὶ ἅμα τοῖς σώμασι καὶ τοῖς οὖσι κινδυνεύειν ᾠόμεθα δεῖν, τῆς κοινῆς σωτηρίας τῶν Ἑλλήνων ἕνεκα, ἐξὸν δ’ ἐν αὐτῷ τῷ παύσασθαι κινδυνεύοντας σῶσαι τὰ πράγματ’ αὐτοῖς, οὐ τολμήσομεν, ἀλλὰ τῶν μὲν ἀθλητῶν εὖ βουλεύεσθαι νομίζομεν οἵτινες ἂν νικῶντες καταλύωσι καὶ μὴ πρὸς ἀνάγκην, αὐτοὶ δ’ οὐχ οὕτω πράξομεν, οὐδ’ εἰσόμεθα ὅτι πρὸς μὲν τοὺς βαρβάρους καὶ μέχρι τῶν ἐσχάτων ἴσως προσήκει προϊέναι, τοὺς δὲ τῶν Ἑλλήνων πρὸς ἀλλήλους ἀγῶνας τοῖς στεφανίταις ἀγῶσι νομίζειν προσεοικέναι καὶ τὴν νίκην ἀποχρῶν ἡγεῖσθαι τέλος, πέρα δὲ μηδὲν ζητεῖν.;ἔξεστι;88
Aristides, Aelius (0284);Orationes 34 Dindorf 12 Keil (034);441.22;ὑμεῖς, ὦ καλῶς φρονεῖν φάσκοντες, τούτους τοὺς ἀνθρώπους ἐξὸν ὑμῖν εἰς πᾶν ἀσθενείας ἀγαγεῖν καὶ χρῆσθαι κοσμίοις, οὐ μόνον οὐκ αὐτοὶ τοῦτ’ ἐποιήσατε, ἀλλὰ καὶ Θηβαίους διεκωλύσατε καὶ προὔδοτε συμμάχους ὄντας.;ἔξεστι;179
