Author;Work;Location;Text;MVI;SID
Aristides, Aelius (0284);Orationes 36 Dindorf 14 Keil (036);458.9;ἐρωτῶσι δὲ τίς ἐγγυητής ἐστι τοῦ Θηβαίους ἐφ’ ἑαυτῶν μένειν, ὥσπερ οὐκ ἐξὸν ἡμᾶς ἀντερωτῆσαι τίς δ’ ἐγγυητής ἐστι τοῦ Λακεδαιμονίους ἐφ’ αὑτῶν μένειν, ἄνπερ τοῦτον τὸν πόλεμον διαθῶνται.;ἔξεστι;9
Aristides, Aelius (0284);Orationes 37 Dindorf 15 Keil (037);476.24;ὅλως δὲ οὐχ ὁρῶ περὶ ὅτου πολεμήσομεν, εἰ μήτε τούτοις μήτε ἐκείνοις ὑπομενοῦμεν περὶ ἀναιρέσεως, ἢ καθεδούμεθα ἐν μεταιχμίῳ φειδόμενοι τῶν ἀντιπάλων, ἐξὸν ὅλως φεύγειν τὸ δοκεῖν ἢ τούτους ἢ ’κείνους κακοῦν, μηδὲν πρὸς ὀργὴν ἀποφηναμένους τοῖς πρέσβεσιν, ἀλλ’ οὑτωσὶ πράως καὶ μετρίως ἀμφοτέροις εἶναι, καὶ εἰ μὲν ἐπ’ ἄλλους ἐκάλουν, ὑπακοῦσαι ῥᾳδίως ἂν, ἐπ’ ἀλλήλους δὲ καλούντων οὐκ ἐθέλειν παρεῖναι, οὐ τὸ εὖ ποιῆσαι τοὺς ἑτέρους φεύγοντες, ἀλλὰ τὸ ὁποτέρους κακῶς.;ἔξεστι;153
Aristides, Aelius (0284);Orationes 39 Dindorf 10 Keil (039);501.8;μὴ τοίνυν ἐξὸν καὶ τότ’ ἀληθεύειν δοκεῖν καὶ νῦν τὰ δίκαια πράττειν, τρία ταῦτ’ ἀνθέλησθε τὰ χείριστα, ἐξ ἀρχῆς τε κακοὶ γνώμην γενέσθαι περὶ ἡμᾶς καὶ ληφθέντες ἀναισχυντεῖν καὶ νῦν αὖθις ἐξεπίτηδες πονηρεύεσθαι, μηδ’ ἀνθ’ ὧν ἥκομεν ἡμεῖς ὑμῖν ἐθέλοντες τοῦ κινδύνου κοινωνεῖν, ἀντὶ τούτων ὑμεῖς Φιλίππῳ συνεμβάλλοντες ἐφ’ ἡμᾶς φανεροὶ γένησθε.;ἔξεστι;129
Aristides, Aelius (0284);Orationes 42 Dindorf 23 Keil (042);525.28;θαυμάζω δ’ εἰ πολέμου μὲν ἥκοντος πᾶς τις ἂν αὑτοῦ κέρδος ἡγοῖτο ὡς μετὰ πλείστων καὶ γενναιοτάτων συμμάχων κινδυνεύειν, ἐξὸν δ’ ἀκινδύνως τὰ ὑπάρχοντα καρποῦσθαι, εἰ μετ’ ἄλλων ὑπάρξει, ζημίαν λογιεῖται, καὶ μηδ’ ἐκεῖνο ἐνθυμηθήσεται, ὅτι ὅσῳ ἂν μειζόνων ἑαυτὸν ἀξιοῖ, τοσούτω μᾶλλον εἰκός ἐστι καὶ τοῖς ἄλλοις χρηστὰ τὰ πράγματ’ εἶναι συμβούλεσθαι·;ἔξεστι;91
Aristides, Aelius (0284);Orationes 42 Dindorf 23 Keil (042);529.28;οἱ μὲν γὰρ ἀήττητοι καὶ ἀπόρθητοι δοκοῦντες εἶναι ζῶντες ἤγοντο αὐτοῖς ὅπλοις, καὶ περὶ σπονδῶν ἐδέοντο, ἐξὸν αὐτοὺς ἐξ ἀρχῆς εἰρήνην ἄγειν πεῖσαι·;ἔξεστι;131
Aristides, Aelius (0284);Orationes 44 Dindorf 24 Keil (044);564.9;καὶ τοῦτο τοσοῦτον ἀτύχημα ἀτυχήσας ὁ δῆμος ἐκπεσὼν καὶ κατελθὼν αὖθις, ἐξὸν αὐτῷ τιμωρήσασθαι τοὺς ἐπαναστάντας καὶ πρὸς οὓς παρετάξαντο, ὁμονοεῖν εἵλετο, τὴν κοινὴν τῆς πόλεως σωτηρίαν προτέραν τῶν ἰδίων ἐγκλημάτων ποιησάμενος.;ἔξεστι;84
Aristides, Aelius (0284);Orationes 44 Dindorf 24 Keil (044);565.28;ὅταν οἱ μὲν ἄρχοντες μὴ πάντ’ ἐξεῖναι νομίζωσιν ἑαυτοῖς, ἀλλ’ ἑκόντες ὑφαιρῶσι τῆς ἐξουσίας, οἱ δ’ ὅ τι ἂν δοκῇ τοῖς κρείττοσιν ὡς ἐξὸν δέχωνται.;ἔξεστι;106
Aristides, Aelius (0284);Orationes 46 Dindorf 3 Keil (046);120.1;"καίτοι εἰ τὸν Ἀρχέλαον κακίζεις ὡς ἄθλιον καὶ κακοδαίμονα, ὅτι οὐδαμόθεν προσῆκον αὐτῷ τὴν τυραννίδα ἐκτήσατο, ὑπερβὰς τὸ δίκαιον καὶ διαφθείρας οὓς ἥκιστα εἰκὸς ἦν, ᾧ γε ἐξὸν ἐκείνῳ ὁμοίως τυραννεῖν, εἴπερ ἐβούλετο, οὐ ταῦτα ἔδοξεν, ἀλλὰ τοὺς νόμους καὶ τὸ δίκαιον πλείονος ἄξια τοῦ κέρδους ἐποιήσατο, πῶς οὐ τούτῳ συγχαίρειν εἰκὸς ἦν;";ἔξεστι;42
Aristides, Aelius (0284);Orationes 46 Dindorf 3 Keil (046);151.23;ἐβουλόμην δ’ ἂν καὶ πρὸς ἄλλον τινά μοι τὸν ἀγῶνα τυγχάνειν ὄντα καὶ μὴ πρὸς Πλάτωνα, καὶ περὶ τούτου λέγω καὶ περὶ τῶν ἄλλων, ἵνα πᾶσιν οἷς εἶχον ἐχρώμην θαρρούντως καὶ μὴ συνέβαινέ μοι παραπλήσιον ὥσπερ ἂν εἰ πλέων καὶ παρὸν ἐξ οὐρίας κομίζεσθαι, εἶτα ὑφιέμην ὑπὸ δειλίας, ἢ καὶ ἵπποις ἀγωνιζόμενος, ἐξὸν καὶ ταχὺ καὶ τοσοῦτον ὅσον βούλομαι παρενεγκεῖν, εἶτ’ ἀνεῖχον ἐξεπίτηδες φειδοῖ τοῦ προειληφότος·;ἔξεστι;392
Aristides, Aelius (0284);Orationes 46 Dindorf 3 Keil (046);205.21;τί οὖν οὐχὶ καὶ περὶ τοῦ σίτου κατηγορήσομεν αὐτῶν, ὅτι χρῶνται ἐπεισάκτῳ τῷ πλέονι καὶ προσδέονται θαλάττης, ἐξὸν τῇ χώρᾳ στέργειν ἣν γεωργοῦσιν, ὦ θειότατε ἀνδρῶν·;ἔξεστι;904
Aristides, Aelius (0284);Orationes 46 Dindorf 3 Keil (046);267.24;ἑτέρωθι δ’ αὖ πολλοῖς πρότερον χρόνοις δημηγορῶν ἐν τοῖς Ἀθηναίοις καὶ παρρησιαζόμενος, πείθων αὐτοὺς τὰ βέλτιστ’ ἀντὶ τῶν ἡδέων αἱρεῖσθαι, ἐξὸν αὐτῷ καὶ χωρὶς τοῦ μνησθῆναι τῶν ἄνω ῥητόρων περαίνειν τὰ τῆς ὑποθέσεως, ὥσπερ ἐπεισόδιον χρηστὸν ἐπεισήγαγε, καὶ τοῦ τε Περικλέους αὐτοὺς ὑπεμίμνησκε καὶ ἄλλων ὡδὶ λέγων ἀλλὰ δικαίου πολίτου κρίνω τὴν τῶν πραγμάτων σωτηρίαν ἀντὶ τῆς ἐν τῷ λέγειν χάριτος αἱρεῖσθαι.;ἔξεστι;1623
Aristides, Aelius (0284);Orationes 46 Dindorf 3 Keil (046);301.7;εἶθ’ ὅτε δὴ διεξῆλθεν ἃ ἐβούλετο, ἵνα μὴ δοκῇ παντελῶς φιλονείκως ἔχειν, ὃν οὐχ οἷόν τ’ ἦν ἐν ἀρχῇ κακῶς εἰπεῖν, τοῦτον ἐν τοῖς τελευταίοις ἐπῄνεσεν, ὡς ἐξὸν ἤδη, μάλ’ ἀρχαίως καὶ ἀφελῶς, ὡς ἄν τῳ δόξαι.;ἔξεστι;2062
Aristides, Aelius (0284);Orationes 46 Dindorf 3 Keil (046);310.8;καὶ τολμῶσιν ἤδη τῶν ἀρίστων ἐν τοῖς Ἕλλησι μνημονεύειν, ὥσπερ ἐξὸν αὐτοῖς·;ἔξεστι;2151
Aristides, Aelius (0284);Orationes 5 Dindorf 40 Keil (005);32.28;ἐκ δὲ τούτων ποιηταὶ Προμηθέας τε ὑπ’ αὐτοῦ λυομένους συνέθεσαν, ὡς καὶ ὅσα δήσειεν ὁ Ζεὺς, ταῦτ’ ἐξὸν Ἡρακλεῖ λῦσαι, καὶ τὸν Ἄτλαντα ὡς ἀπέπαυσε διαδεξάμενος καὶ ἀνασχὼν τὸν οὐρανὸν αὐτὸς, καὶ τὸν Κέρβερον ὡς ἀνήγαγεν ἐξ Ἅιδου καὶ μετ’ αὐτοῦ Θησέα τὸν τῶν Ἐρεχθειδῶν, καὶ ὡς Πλούτωνα καὶ Ἥραν τρώσειε, καὶ τοὺς Γίγαντας ὡς χειρώσαιτο ἐπίκουρος τοῖς θεοῖς γενόμενος·;ἔξεστι;16
Aristides, Aelius (0284);Orationes 50 Dindorf 34 Keil (050);414.9;"ὥστ’ εἰ μὲν οὐκ ἔχεις βελτίω τούτων, ἀμφότερα δυστυχεῖς, καὶ οἷς λέγεις καὶ οἷς οὐ δύνασαι λέγειν, εἰ δ’ ἐξὸν ἐκείνως ἄγειν οὕτω δέχει, πῶς οὐ παρανοεῖς;";ἔξεστι;165
Aristides, Aelius (0284);Orationes 52 Dindorf 16 Keil (052);428.22;"καὶ πῶς οὐκ ἄτοπον συμφορὰν μὲν ἐπίστασθαι συμφορᾶς ἀνταλλάξασθαι, ἄμφω δὲ ἐξὸν ἔχειν ἄνευ ζημίας, εἶτα ἀμφοῖν δέξασθαι στέρεσθαι;";ἔξεστι;51
Aristides, Aelius (0284);Orationes 53 Dindorf 53 Keil (sp.) (053);20.19;οὐκοῦν καὶ Ἐπικέρδης καὶ Λεύκων καὶ ὅστις ἕτερος, εἰ ὅτ’ αὐτοὺς ἡ πόλις ἐτίμα, δυοῖν αἵρεσις ἦν, ἢ ἀτελείας ἢ ἀνδριάντων μετέχειν, οὐκ ἄν μοι δοκοῦσι μηδ’ ὅσον περὶ ἀτελείας ἀκοῦσαι δεδέχθαι, ἐξὸν πολλῷ τινι μείζονι τετιμῆσθαι καὶ ὃ τοὺς μετασχόντας παραπλησίους εἶναι δοκεῖν ποιεῖ τοῖς θεοῖς·;ἔξεστι;180
Aristides, Aelius (0284);Orationes 54 Dindorf 54 Keil (sp.) (054);56.7;εἰ δ’ ἅμα ταύτης στερήσονται καὶ ἡμῖν ἔσονται δύσνοι, ὡς ὑφ’ ἡμῶν ἀτεχνῶς ὑβρισμένοι, μανία δή που σαφὴς ἀντὶ μικρῶν καὶ φαύλων λειτουργιῶν τοσούτοις ἡμᾶς διαβεβλῆσθαι καὶ κακῶς ἀκούειν καὶ μῖσος ἐν Ἕλλησι καὶ βαρβάροις ἔχειν, ἐξὸν πᾶν τοὐναντίον θαυμάζεσθαι καὶ φιλεῖσθαι καὶ διὰ τὴν ἡμετέραν πρὸς τούτους αἰδὼ πάντας ἐπὶ τὰ ἴσα προτρέπειν.;ἔξεστι;126
Aristides, Aelius (0284);Orationes 54 Dindorf 54 Keil (sp.) (054);118.13;καὶ πῶς οὐκ ἄτοπον τοῖς μὲν ἡμετέροις αὐτῶν κινδύνοις ἐξαιρεῖσθαι τοὺς ἄλλους ἐθέλειν κινδύνων, ἄμφω δὲ ἐξὸν ἔχειν, καὶ ἡμᾶς αὐτοὺς εὖ πάσχειν ὑπ’ ἄλλων, καὶ τοὺς ἄλλους ὑφ’ ἡμῶν ἀξιοῦσθαι τῶν ἴσων, εἶτ’ ἀμφοῖν ἐστερῆσθαι δεδέχθαι, καὶ τοὺς μὲν τὰ δεινότατα πάντων εἰργασμένους τὴν πόλιν καὶ μηδ’ ἡντινοῦν ὑπερβολὴν ἐλλελοιπότας κακίας, ὡς μηδ’ ἀδακρυτὶ μνημονεύειν ἐξεῖναι, τοσαύτης δή τινος διὰ τὴν ὁμόνοιαν σπουδῆς ἀξιῶσαι, ὡς καὶ μεγίστην ὑπὲρ αὐτῶν ὑποστῆναι χρημάτων δαπάνην·;ἔξεστι;226
Aristides, Aelius (0284);Orationes 54 Dindorf 54 Keil (sp.) (054);148.10;ὃ παρ’ ἄλλου μὲν ἂν γεγονὸς εἶχεν ἄν τινα παραμυθίαν ἡμῖν καὶ προσέτι τοῖς παραδείγμασι φέρειν ἐδόκει, τὸ δ’ ἡμῖν αὐτοῖς ἐπηρεάζοντας ἡμᾶς εἶναι καὶ κακῶς ποιεῖν καὶ ὃ τούτου δεινότερον, ἐξὸν μὴ πάσχειν, εἶτα πάσχειν αἱρεῖσθαι, πᾶσαν κακοδαιμονίαν ἐκβαίνει.;ἔξεστι;286
Aristophanes (0019);Ecclesiazusae (010);1002;"τί δῆτα κρεάγρας τοῖς κάδοις ὠνούμεθα, ἐξὸν καθέντα γρᾴδιον τοιουτονὶ ἐκ τῶν φρεάτων τοὺς κάδους ξυλλαμβάνειν;";ἔξεστι;829
Aristophanes (0019);Lysistrata (007);1016;"ταῦτα μέντοι σὺ ξυνιεὶς εἶτα πολεμεῖς ἐμοί, ἐξὸν ὦ πόνηρε σοὶ βέβαιον ἔμ’ ἔχειν φίλην;";ἔξεστι;815
Aristophanes (0019);Peace (005);1080;"οὐ παύσασθαι πολεμοῦντας, ἢ διακαυνιάσαι πότεροι κλαυσούμεθα μεῖζον, ἐξὸν σπεισαμένοις κοινῇ τῆς Ἑλλάδος ἄρχειν;";ἔξεστι;759
Aristophanes (0019);Wasps (004);698;σκέψαι τοίνυν ὡς ἐξόν σοι πλουτεῖν καὶ τοῖσιν ἅπασιν ὑπὸ τῶν ἀεὶ δημιζόντων οὐκ οἶδ’ ὅπῃ ἐγκεκύκλησαι, ὅστις πόλεων ἄρχων πλείστων ἀπὸ τοῦ Πόντου μέχρι Σαρδοῦς οὐκ ἀπολαύεις πλὴν τοῦθ’ ὃ φέρεις ἀκαρῆ·;ἔξεστι;485
Demosthenes (0014);Against Androtion (022);30.7;ἑώρα γὰρ ἐκεῖνο, ὅτι τοῖς πολλοῖς ὑμῶν ἐξὸν λέγειν οὐ λέγετε, ὥστε τοῦτ’ οὐδὲν ἡγεῖτο βαρύ, καὶ πόλλ’ ἂν εἶχεν, εἴ γε κολάζειν ἐβούλετο τούτους, χαλεπώτερα θεῖναι.;ἔξεστι;124
Demosthenes (0014);Against Androtion (022);56.6;εἶτ’ ἐπὶ τούτοις, ὡς ὁτιοῦν ἐξὸν ἑαυτῷ ποιεῖν, Σινώπην προσηνεχύραζεν καὶ Φανοστράτην, ἀνθρώπους πόρνας, οὐ μέντοι ὀφειλούσας εἰσφοράς.;ἔξεστι;206
Demosthenes (0014);Against Aphobus 1 (027);57.1;"ἢ τὴν μὲν φανερὰν οὐσίαν, ἣν καὶ ὑμῶν οἱ πολλοὶ συνῄδεσαν ὅτι κατελείφθη, μετὰ τῶν συνεπιτρόπων οὕτως αἰσχρῶς διήρπασεν, ὧν δ’ οὐκ ἐμέλλεθ’ ὑμεῖς ἔσεσθαι μάρτυρες, ἀπέσχετ’ ἂν ἐξὸν αὐτῷ λαβεῖν;";ἔξεστι;170
Demosthenes (0014);Against Aphobus 1 (027);60.1;τοσαύτης τοίνυν οὐσίας μοι καταλειφθείσης ὅσην ἐξ ἀρχῆς ἠκούσατε, καὶ τοῦ τρίτου μέρους πρόσοδον αὐτῆς φερούσης πεντήκοντα μνᾶς, ἐξὸν τούτοις τοῖς ἀπληστοτάτοις χρημάτων, καὶ εἰ μὴ μισθοῦν τὸν οἶκον ἐβούλοντο, ἀπὸ μὲν τούτων τῶν προσιόντων, ἐῶντας ὥσπερ εἶχεν κατὰ χώραν, ἡμᾶς τε τρέφειν καὶ τὰ πρὸς τὴν πόλιν διοικεῖν, καὶ ὅσ’ ἐξαὐτῶν περιεγίγνετο, ταῦτα προσπεριποιεῖν, τὴν δ’ ἄλλην οὐσίαν ἐνεργὸν ποιήσασιν, οὖσαν ταύτης διπλασίαν, αὑτοῖς τε, εἰ χρημάτων ἐπεθύμουν, μέτρι’ ἐξ αὐτῶν λαβεῖν, ἐμοί τε σὺν τοῖς ἀρχαίοις τὸν οἶκον ἐκ τῶν προσόδων μείζω ποιῆσαι, τούτων μὲν οὐδὲν ἐποίησαν, ἀποδόμενοι δ’ ἀλλήλοις τὰ πλείστου ἄξια τῶν ἀνδραπόδων, τὰ δὲ παντάπασιν ἀφανίσαντες, ἐμοῦ μὲν ἀνεῖλον καὶ τὴν ὑπάρχουσαν πρόσοδον, σφίσι δ’ αὐτοῖς οὐ μικρὰν ἐκ τῶν ἐμῶν κατεσκευάσαντο.;ἔξεστι;183
Demosthenes (0014);Against Aphobus 3 (029);49.1;"ἢ τὴν μὲν φανερὰν οὐσίαν, ἣν καὶ ὑμῶν πολλοὶ συνῄδεσαν ὅτι κατελείφθη, μετὰ τῶν συνεπιτρόπων οὕτως αἰσχρῶς διήρπασεν, ὧν δ’ οὐκ ἐμέλλεθ’ ὑμεῖς ἔσεσθαι μάρτυρες, ἀπέσχετ’ ἂν ἐξὸν αὐτῷ λαβεῖν;";ἔξεστι;157
Demosthenes (0014);Against Aristocrates (023);110.5;ἐκ δὲ τῶν ἐμπορίων, ἃ τότ’ ἂν κλεισθείη, πλεῖν ἢ διακόσια ὥστε τί βουλόμενος μικρὰ λαμβάνειν καὶ πολεμεῖν ἂν ἕλοιτο, ἐξὸν τὰ πλείω καὶ φίλος εἶναι, θαυμάζειν φήσουσιν.;ἔξεστι;425
Demosthenes (0014);Against Aristogeiton 1 (025);4.1;οἱ μὲν δικάσοντες ὑμεῖς ἥκετε μᾶλλον ἡμῶν τῶν κατηγόρων εἰδότες καὶ ὀφείλοντα τῷ δημοσίῳ τοῦτον καὶ ἐγγεγραμμένον ἐν ἀκροπόλει καὶ οὐκ ἐξὸν αὐτῷ λέγειν·;ἔξεστι;8
Demosthenes (0014);Against Aristogeiton 1 (025);38.1;δύ’ ἔτη βιάζεται λέγειν οὗτος οὐκ ἐξὸν αὐτῷ, ἀλλὰ λέγει γ’ ὅμως.;ἔξεστι;115
Demosthenes (0014);Against Aristogeiton 1 (025);101.1;"καὶ τί δεῖ ταῦτα ποιεῖν, ἐξὸν εὐφημεῖν καὶ ἅπαντας ἅπασι πάντα τἀγάθ’ εὔχεσθαι, καὶ ὑμᾶς ὑμῖν αὐτοῖς καὶ τοὺς ἄλλους Ἀθηναίους ἅπαντας ὑμῖν, προσθήσω δὲ καὶ τοὺς ξένους καὶ παῖδας καὶ γυναῖκας;";ἔξεστι;382
Demosthenes (0014);Against Boeotus 2 (040);5.1;οἵτινες, ὦ γῆ καὶ θεοί, ἐξὸν αὐτοῖς τὰ δίκαια ποιήσασι μὴ εἰσιέναι εἰς δικαστήριον, οὐκ αἰσχύνονται μὲν ἀναμιμνῄσκοντες ὑμᾶς εἴ τι ἢ ὁ πατὴρ ἡμῶν μὴ ὀρθῶς διεπράξατο ἢ οὗτοι εἰς ἐκεῖνον ἥμαρτον, ἀναγκάζουσι δ’ ἐμὲ δικάζεσθαι αὑτοῖς.;ἔξεστι;7
Demosthenes (0014);Against Dionysodorus (056);17.8;ταῦτα τοίνυν, ὦ ἄνδρες δικασταί, προκαλεσαμένων ἡμῶν Διονυσόδωρον τουτονὶ πολλάκις, καὶ ἐπὶ πολλὰς ἡμέρας ἐκτιθέντων τὴν πρόκλησιν, εὐήθεις ἔφη παντελῶς ἡμᾶς εἶναι, εἰ ὑπολαμβάνομεν αὐτὸν οὕτως ἀλογίστως ἔχειν ὥστ’ ἐπὶ διαιτητὴν βαδίζειν, προδήλου ὄντος ὅτι καταγνώσεται αὐτοῦ ἀποτεῖσαι τὰ χρήματα, ἐξὸν αὐτῷ ἐπὶ τὸ δικαστήριον ἥκειν φέροντα τὸ ἀργύριον, εἶτ’ ἐὰν μὲν δύνηται ὑμᾶς παρακρούσασθαι, ἀπιέναι τἀλλότρια ἔχοντα, εἰ δὲ μή, τηνικαῦτα καταθεῖναι τὰ χρήματα, ὡς ἂν ἄνθρωπος οὐ τῷ δικαίῳ πιστεύων, ἀλλὰ διάπειραν ὑμῶν λαμβάνειν βουλόμενος.;ἔξεστι;41
Demosthenes (0014);Against Evergus And Mnesibulus (047);5.1;ἐξὸν γὰρ αὐτοῖς ἀπηλλάχθαι πραγμάτων καὶ μὴ κινδυνεύειν εἰσιόντας εἰς ὑμᾶς, ἔργῳ βεβαιώσαντας ὡς ἀληθής ἐστιν ἡ μαρτυρία, οὐκ ἠθελήκασιν παραδοῦναι τὴν ἄνθρωπον, ἣν μεμαρτυρήκασιν προκαλέσασθαι πρὸς τῷ διαιτητῇ Πυθοδώρῳ ἐκ Κηδῶν παραδιδόναι ἕτοιμον εἶναι Θεόφημον, ἠξίουν δ’ ἐγὼ παραλαμβάνειν, ὡς οἱ μάρτυρες ὑμῖν οἱ τότε παραγενόμενοι ἐμαρτύρησαν ἐν τῷ δικαστηρίῳ, καὶ νῦν δὲ μαρτυρήσουσιν.;ἔξεστι;11
Demosthenes (0014);Against Leochares (044);68.1;ὅσοι μὴ ἐπεποίηντο φησίν ὅτε Σόλων εἰσῄει εἰς τὴν ἀρχήν, ἐξεῖναι αὐτοῖς διαθέσθαι ὅπως ἂν ἐθέλωσιν ὡς τοῖς γε ποιηθεῖσιν οὐκ ἐξὸν διαθέσθαι, ἀλλὰ ζῶντας ἐγκαταλιπόντας υἱὸν γνήσιον ἐπανιέναι, ἢ τελευτήσαντας ἀποδιδόναι τὴν κληρονομίαν τοῖς ἐξ ἀρχῆς οἰκείοις οὖσι τοῦ ποιησαμένου.;ἔξεστι;213
Demosthenes (0014);Against Leptines (020);12.6;"πῶς οὖν οὐ δεινόν, ὦ ἄνδρες Ἀθηναῖοι, εἰ τότε μὲν τοῖς ἠδικηκόσιν ὑμᾶς ὑπὲρ τοῦ μὴ ψεύσασθαι τὰ χρήματ’ εἰσφέρειν ἠθελήσατε, νῦν δ’ ἐξὸν ὑμῖν ἄνευ δαπάνης τὰ δίκαια ποιῆσαι τοῖς εὐεργέταις, λύσασι τὸν νόμον, ψεύδεσθαι μᾶλλον αἱρήσεσθε;";ἔξεστι;35
Demosthenes (0014);Against Meidias (021);3.1;οὕτω δὲ τούτων ἐχόντων, ὅσα μὲν παρ’ ἐμοῦ προσῆκε φυλαχθῆναι, πάντα δικαίως ὑμῖν τετήρηται, καὶ κατηγορήσων, ἐπειδή τις εἰσάγει, πάρειμι, ὡς ὁρᾶτε, πολλὰ μέν, ὦ ἄνδρες Ἀθηναῖοι, χρήματα, ἐξόν μοι λαβεῖν ὥστε μὴ κατηγορεῖν, οὐ λαβών, πολλὰς δὲ δεήσεις καὶ χάριτας καὶ νὴ Δί’ ἀπειλὰς ὑπομείνας.;ἔξεστι;4
Demosthenes (0014);Against Meidias (021);149.6;ἡ μὲν γὰρ ἀπέδοτ’ εὐθὺς γενόμενον, ἡ δ’ ἐξὸν αὐτῇ βελτίω πρίασθαι τῆς αὐτῆς τιμῆς τοῦτον ἠγόρασεν.;ἔξεστι;461
Demosthenes (0014);Against Onetor 1 (030);33.6;"καίτοι τῷ πιστόν, ὡς τότε μέν, ἵνα μὴ χηρεύσειεν, παρ’ ἀνδρὸς ὡς ἄνδρ’ ἐβάδιζεν, νῦν δ’, εἴπερ ὡς ἀληθῶς ἀπολέλοιπεν, τοσοῦτον ἂν χρόνον χηρεύουσ’ ἠνείχετ’ ἐξὸν ἄλλῳ συνοικεῖν, τοῦ τ’ ἀδελφοῦ κεκτημένου τοσαύτην οὐσίαν, αὐτή τε ταύτην ἔχουσα τὴν ἡλικίαν;";ἔξεστι;86
Demosthenes (0014);Against Phormio (034);25.6;"ἐξὸν δ’ αὐτῷ ἀμφοτερόπλουν Ἀθήνησιν ἀποδοῦναι τὸ ἀργύριον, ἐν Βοσπόρῳ ἀπέδωκε, τρισὶ καὶ δέκα μναῖς πλέον;";ἔξεστι;79
Demosthenes (0014);Against Theocrines (058);2.1;καὶ γὰρ ὁ πατήρ, ὦ ἄνδρες δικασταί, ᾧπερ πάντα πειθόμενος πεποίηκα, πρὸς ἅπαντας ὠδύρετο τοὺς γνωρίμους, εἰ παραλιπὼν ἐγὼ τὸν καιρὸν ἐν ᾧ διὰ τὸ τὸν πατέρα ζῆν ἔξεστί μοι τοῦτον ἀμύνασθαι, τὴν ἀπειρίαν καὶ τὴν ἡλικίαν προφασιζόμενος αὐτὸν μὲν περιόψομαι πάντων ἀπεστερημένον, Θεοκρίνην δὲ παρὰ τοὺς νόμους γραφὰς γραφόμενον καὶ συκοφαντοῦντα πολλοὺς τῶν πολιτῶν, οὐκ ἐξὸν αὐτῷ.;ἔξεστι;2
