Author;Work;Location;Text;MVI;SID
Demosthenes (0014);Against Theocrines (058);12.5;"τίς γὰρ ἂν παρεὶς τὸ δικαίως πράττοντα λαβεῖν τὸ μέρος τῶν χρημάτων κατὰ τὸν νόμον, διαλυσάμενος ἐβουλήθη μικρὰ κερδᾶναι καὶ τούτοις ἔνοχον αὑτὸν καταστῆσαι τοῖς νόμοις, ἐξόν, ὅπερ ἀρτίως εἶπον, τὰ ἡμίσεα τῶν φανθέντων λαβεῖν;";ἔξεστι;32
Demosthenes (0014);Apollodorus Against Callipus (052);32.3;δέομαι δὲ ὑμῶν αὐτός τε ὑπὲρ ἐμαυτοῦ καὶ ὑπὲρ τοῦ πατρός, ἀναμνησθέντας ὅτι πάντων μὲν ὑμῖν καὶ μάρτυρας καὶ τεκμήρια καὶ νόμους καὶ πίστεις παρεσχόμην ὧν εἴρηκα, τούτῳ δὲ ἐπιδείκνυμι ὅτι ἐξόν, εἴπερ τι αὐτῷ προσῆκεν τοῦ ἀργυρίου, ἐπὶ τὸν Κηφισιάδην βαδίζειν τὸν ὁμολογοῦντα κεκομίσθαι καὶ ἔχειν τὸ ἀργύριον, καὶ ταῦτα μηδὲν ἧττον τὰ πιστὰ παρ’ ἡμῶν λαβόντα, οὐκ ἔρχεται, εἰδὼς ὅτι οὐκ ἔστιν παρ’ ἡμῖν τὸ ἀργύριον, δέομαι ὑμῶν ἀποψηφίσασθαί μου.;ἔξεστι;81
Demosthenes (0014);On The Trierarchic Crown (051);19.1;εἶθ’ ὥσπερ οὐχὶ πολιτείας κοινῆς μετέχοντες καὶ διὰ ταῦτα τῷ βουλομένῳ λέγειν ἐξόν, ἀλλ’ ἱερωσύνην ἰδίαν αὐτοί τινα ταύτην ἔχοντες, ἐὰν ὑπὲρ τῶν δικαίων ἐν ὑμῖν τις εἴπῃ, δεινὰ πάσχουσιν καὶ θρασὺν εἶναί φασιν.;ἔξεστι;60
Demosthenes (0014);On the Crown (018);29.4;ταῦτα γράψαντος ἐμοῦ τότε καὶ τὸ τῇ πόλει συμφέρον οὐ τὸ Φιλίππῳ ζητοῦντος, βραχὺ φροντίσαντες οἱ χρηστοὶ πρέσβεις οὗτοι καθῆντ’ ἐν Μακεδονίᾳ τρεῖς ὅλους μῆνας, ἕως ἦλθε Φίλιππος ἐκ Θρᾴκης πάντα καταστρεψάμενος, ἐξὸν ἡμερῶν δέκα, ὁμοίως δὲ τριῶν ἢ τεττάρων, εἰς τὸν Ἑλλήσποντον ἀφῖχθαι καὶ τὰ χωρία σῶσαι, λαβόντας τοὺς ὅρκους πρὶν ἐκεῖνον ἐξελεῖν αὐτά·;ἔξεστι;88
Demosthenes (0014);On the False Embassy (019);115.1;"ἔστιν οὖν οὕτω τις ἀνθρώπων ἀνόητος ἢ κακοδαίμων, ὥσθ’ ἵνα λαμβάνῃ μὲν Φιλοκράτης, ἀδοξῇ δ’ αὐτὸς καὶ κινδυνεύῃ, ἐξὸν αὐτῷ μετὰ τῶν μηδὲν ἠδικηκότων ἐξετάζεσθαι, τούτοις μὲν πολεμεῖν, πρὸς δ’ ἐκεῖνον ἐλθὼν κρίνεσθαι βούλεται;";ἔξεστι;387
Demosthenes (0014);Philip's Letter (012);18.1;πάντων δέ μοι δοκεῖ παραλογώτατον εἶναι, διότι πέμψαντος ἐμοῦ πρέσβεις ἀπὸ τῆς συμμαχίας πάσης, ἵν’ ὦσι μάρτυρες, καὶ βουλομένου ποιήσασθαι πρὸς ὑμᾶς δικαίας ὁμολογίας ὑπὲρ τῶν Ἑλλήνων, οὐδὲ τοὺς περὶ τούτων λόγους ἐδέξασθε παρὰ τῶν πρεσβευόντων, ἐξὸν ὑμῖν ἢ τῶν κινδύνων ἀπαλλάξαι τοὺς δυσχερὲς ὑποπτεύοντάς τι καθ’ ἡμῶν, ἢ φανερῶς ἐξελέγξαι με φαυλότατον ὄντα τῶν ἁπάντων.;ἔξεστι;51
Demosthenes (0014);Second Olynthiac (002);24.1;ἀλλ’ ἐκεῖνο θαυμάζω, εἰ Λακεδαιμονίοις μέν ποτ’, ὦ ἄνδρες Ἀθηναῖοι, ὑπὲρ τῶν Ἑλληνικῶν δικαίων ἀντήρατε, καὶ πόλλ’ ἰδίᾳ πλεονεκτῆσαι πολλάκις ὑμῖν ἐξὸν οὐκ ἠθελήσατε, ἀλλ’ ἵν’ οἱ ἄλλοι τύχωσι τῶν δικαίων, τὰ ὑμέτερ’ αὐτῶν ἀνηλίσκετ’ εἰσφέροντες καὶ προυκινδυνεύετε στρατευόμενοι, νυνὶ δ’ ὀκνεῖτ’ ἐξιέναι καὶ μέλλετ’ εἰσφέρειν ὑπὲρ τῶν ὑμετέρων αὐτῶν κτημάτων, καὶ τοὺς μὲν ἄλλους σεσώκατε πολλάκις πάντας καὶ καθ’ ἕν’ αὐτῶν ἐν μέρει, τὰ δ’ ὑμέτερ’ αὐτῶν ἀπολωλεκότες κάθησθε.;ἔξεστι;64
Demosthenes (0014);Second Philippic (006);10.5;εὑρίσκει γάρ, οἶμαι, καὶ ἀκούει τοὺς μὲν ὑμετέρους προγόνους, ἐξὸν αὐτοῖς τῶν λοιπῶν ἄρχειν Ἑλλήνων ὥστ’ αὐτοὺς ὑπακούειν βασιλεῖ, οὐ μόνον οὐκ ἀνασχομένους τὸν λόγον τοῦτον, ἡνίκ’ ἦλθεν Ἀλέξανδρος ὁ τούτων πρόγονος περὶ τούτων κῆρυξ, ἀλλὰ καὶ τὴν χώραν ἐκλιπεῖν προελομένους καὶ παθεῖν ὁτιοῦν ὑπομείναντας, καὶ μετὰ ταῦτα πράξαντας ταῦθ’ ἃ πάντες ἀεὶ γλίχονται λέγειν, ἀξίως δ’ οὐδεὶς εἰπεῖν δεδύνηται, διόπερ κἀγὼ παραλείψω, δικαίως (ἔστι γὰρ μείζω τἀκείνων ἔργα ἢ ὡς τῷ λόγῳ τις ἂν εἴποι) τοὺς δὲ Θηβαίων καὶ Ἀργείων προγόνους τοὺς μὲν συστρατεύσαντας τῷ βαρβάρῳ, τοὺς δ’ οὐκ ἐναντιωθέντας.;ἔξεστι;24
Demosthenes (0014);Third Olynthiac (003);9.1;ἀλλὰ μὴν εἴ τις ὑμῶν εἰς τοῦτ’ ἀναβάλλεται ποιήσειν τὰ δέοντα, ἰδεῖν ἐγγύθεν βούλεται τὰ δεινά, ἐξὸν ἀκούειν ἄλλοθι γιγνόμενα, καὶ βοηθοὺς ἑαυτῷ ζητεῖν, ἐξὸν νῦν ἑτέροις αὐτὸν βοηθεῖν·;ἔξεστι;35
Demosthenes (0014);Third Olynthiac (003);27.4;οἷς—τὰ μὲν ἄλλα σιωπῶ, πόλλ’ ἂν ἔχων εἰπεῖν, ἀλλ’ ὅσης ἅπαντες ὁρᾶτ’ ἐρημίας ἐπειλημμένοι, Λακεδαιμονίων μὲν ἀπολωλότων, Θηβαίων δ’ ἀσχόλων ὄντων, τῶν δ’ ἄλλων οὐδενὸς ὄντος ἀξιόχρεω περὶ τῶν πρωτείων ἡμῖν ἀντιτάξασθαι, ἐξὸν δ’ ἡμῖν καὶ τὰ ἡμέτερ’ αὐτῶν ἀσφαλῶς ἔχειν καὶ τὰ τῶν ἄλλων δίκαια βραβεύειν, ἀπεστερήμεθα μὲν χώρας οἰκείας, πλείω δ’ ἢ χίλια καὶ πεντακόσια τάλαντ’ ἀνηλώκαμεν εἰς οὐδὲν δέον, οὓς δ’ ἐν τῷ πολέμῳ συμμάχους ἐκτησάμεθα, εἰρήνης οὔσης ἀπολωλέκασιν οὗτοι, ἐχθρὸν δ’ ἐφ’ ἡμᾶς αὐτοὺς τηλικοῦτον ἠσκήκαμεν.;ἔξεστι;104
Dinarchus (0029);Against Aristogiton (005);13.1;"οὐ τὸ τελευταῖον οὗτος ἐνδειχθεὶς ὑπὸ Λυκούργου, καὶ ἐξελεγχθεὶς ὀφείλων τῷ δημοσίῳ λέγειν οὐκ ἐξὸν αὐτῷ, καὶ παραδοθεὶς τοῖς ἕνδεκα κατὰ τοὺς νόμους, περιπατῶν ἔμπροσθεν τῶν δικαστηρίων καὶ εἰς τὴν προεδρίαν τῶν πρυτάνεων ἐκάθιζεν;";ἔξεστι;32
Euripides (0006);Helen (047);1155-1156;ᾇ Πριαμίδος γᾶς ἔλαχον θαλάμους, ἐξὸν διορθῶσαι λόγοις σὰν ἔριν, ὦ Ἑλένα.;ἔξεστι;759
Isaeus (0017);On The Estate Of Pyrrhus (003);46.1;"εἰσήγγειλας πρὸς τὸν ἄρχοντα κακοῦσθαι τὴν ἐπίκληρον ὑπὸ τοῦ εἰσποιήτου οὕτως ὑβριζομένην καὶ ἄκληρον τῶν ἑαυτῆς πατρῴων καθισταμένην, ἄλλως τε καὶ μόνων τούτων τῶν δικῶν ἀκινδύνων τοῖς διώκουσιν οὐσῶν καὶ ἐξὸν τῷ βουλομένῳ βοηθεῖν ταῖς ἐπικλήροις;";ἔξεστι;121
Isaeus (0017);On The Estate Of Pyrrhus (003);73.1;"καὶ τί αὐτὸν ἔδει καταφανῶς καὶ ὁτῳοῦν ἀπέχθεσθαι τῶν οἰκείων, ἐξόν, εἴπερ ἦν ἠγγυημένος τὴν ἀδελφὴν τὴν Νικοδήμου, τὴν θυγατέρα τὴν ἐκ ταύτης ἀποφανθεῖσαν εἶναι εἰς τοὺς φράτορας εἰσαγαγόντι ὡς οὖσαν γνησίαν ἑαυτῷ, ἐπὶ ἅπαντι τῷ κλήρῳ ἐπίδικον καταλιπεῖν αὐτήν, καὶ ἐπισκῆψαι τῶν γιγνομένων λτἐκγτ τῆς θυγατρὸς παίδων εἰσαγαγεῖν ὑὸν ἑαυτῷ;";ἔξεστι;206
Isaeus (0017);On the Estate of Philoctemon (006);3.3;λαχόντος δὲ τοῦ Χαιρεστράτου κατὰ τὸν νόμον τοῦ κλήρου, ἐξὸν ἀμφισβητῆσαι Ἀθηναίων τῷ βουλομένῳ καὶ εὐθυδικίᾳ εἰσελθόντι εἰς ὑμᾶς, εἰ φαίνοιτο δικαιότερα λέγων, ἔχειν τὸν κλῆρον, διεμαρτύρησεν Ἀνδροκλῆς οὑτοσὶ μὴ ἐπίδικον εἶναι τὸν κλῆρον, ἀποστερῶν τοῦτον τῆς ἀμφισβητήσεως καὶ ὑμᾶς τοῦ κυρίους γενέσθαι ὅντινα δεῖ κληρονόμον καταστήσασθαι τῶν Φιλοκτήμονος·;ἔξεστι;11
Isaeus (0017);On the Estate of Philoctemon (006);8.2;ὡς δ’ ἐξὸν αὐτῷ ταῦτ’ ἔπραξεν, ὅθεν δικαιότατα ἡγοῦμαι τὰ τοιαῦτ’ εἶναι μανθάνειν, τοῦτον ὑμῖν αὐτὸν παρέξομαι τὸν νόμον.;ἔξεστι;23
Isaeus (0017);On the Estate of Philoctemon (006);52.2;τουτὶ γὰρ αὐτοῖς ἡ διαμαρτυρία δύναται, ἵν’ ὁ κίνδυνος τοῖσδε μὲν ᾖ περὶ πάντων, οὗτοι δὲ κἂν νῦν διαμάρτωσι τοῦ ἀγῶνος, δόξῃ δὲ ὁ κλῆρος ἐπίδικος εἶναι, ἀντιγραψάμενοι δὶς περὶ τῶν αὐτῶν ἀγωνίζωνται, καίτοι εἰ μὲν διέθετο Φιλοκτήμων μὴ ἐξὸν αὐτῷ, τοῦτ’ αὐτὸ ἐχρῆν διαμαρτυρεῖν, ὡς οὐ κύριος ἦν ὑὸν τόνδε ποιήσασθαι·;ἔξεστι;140
Isocrates (0010);Antidosis (019);34.1;οὐ γὰρ δὴ τοῦτό γ’ ἐστὶν οὔτ’ εἰκὸς οὔτε δυνατόν, ἐμὲ μὲν περὶ πολλοὺς ἡμαρτηκέναι, τοὺς δὲ ταῖς συμφοραῖς δι’ ἐμὲ περιπεπτωκότας ἡσυχίαν ἔχειν καὶ μὴ τολμᾶν ἐγκαλεῖν, ἀλλὰ πραοτέρους ἐν τοῖς ἐμοῖς εἶναι κινδύνοις τῶν μηδὲν ἠδικημένων, ἐξὸν αὐτοῖς δηλώσασιν ἃ πεπόνθασι τὴν μεγίστην παρ’ ἐμοῦ λαβεῖν τιμωρίαν.;ἔξεστι;68
Isocrates (0010);Antidosis (019);56.1;καὶ γὰρ ἂν πάντων εἴην καταγελαστότατος, εἰ τοῦ κατηγόρου διαβάλλοντος ὅτι τοιούτους γράφω λόγους οἳ καὶ τὴν πόλιν βλάπτουσι καὶ τοὺς νεωτέρους διαφθείρουσι, δι’ ἑτέρων ποιοίμην τὴν ἀπολογίαν, ἐξὸν αὐτοὺς δείξαντι τούτους ἀπολύσασθαι τὴν διαβολὴν τὴν λεγομένην περὶ ἡμῶν.;ἔξεστι;118
Isocrates (0010);Antidosis (019);225.5;"ἔτι δὲ τίνες ἂν ὑπὲρ πονηρίας ἀργύριον ἀναλώσαιεν, ἐξὸν αὐτοῖς μηδὲν δαπανηθεῖσιν εἶναι τοιούτοις, ὁπόταν βουληθῶσιν;";ἔξεστι;464
Isocrates (0010);Antidosis (019);289.1;οἵτινες ἐν ταύταις μὲν ταῖς ἀκμαῖς ὄντες ὑπερεῖδον τὰς ἡδονάς, ἐν αἷς οἱ πλεῖστοι τῶν τηλικούτων μάλιστ’ αὐτῶν ἐπιθυμοῦσιν, ἐξὸν δ’ αὐτοῖς ῥᾳθυμεῖν μηδὲν δαπανωμένοις εἵλοντο πονεῖν χρήματα τελέσαντες, ἄρτι δ’ ἐκ παίδων ἐξεληλυθότες ἔγνωσαν ἃ πολλοὶ τῶν πρεσβυτέρων οὐκ ἴσασιν, ὅτι δεῖ τὸν ὀρθῶς καὶ πρεπόντως προεστῶτα τῆς ἡλικίας καὶ καλὴν ἀρχὴν τοῦ βίου ποιούμενον αὑτοῦ πρότερον ἢ τῶν αὑτοῦ ποιήσασθαι τὴν ἐπιμέλειαν, καὶ μὴ σπεύδειν μηδὲ ζητεῖν ἑτέρων ἄρχειν πρὶν ἂν τῆς αὑτοῦ διανοίας λάβῃ τὸν ἐπιστατήσοντα, μηδ’ οὕτω χαίρειν μηδὲ μέγα φρονεῖν ἐπὶ τοῖς ἄλλοις ἀγαθοῖς ὡς ἐπὶ τοῖς ἐν τῇ ψυχῇ διὰ τὴν παιδείαν ἐγγιγνομένοις.;ἔξεστι;573
Isocrates (0010);Helen (009);9.1;ἐμοὶ δὲ δοκεῖ πάντων εἶναι καταγελαστότατον τὸ διὰ τούτων τῶν λόγων ζητεῖν πείθειν ὡς περὶ τῶν πολιτικῶν ἐπιστήμην ἔχουσιν, ἐξὸν ἐν αὐτοῖς οἷς ἐπαγγέλλονται τὴν ἐπίδειξιν ποιεῖσθαι·;ἔξεστι;17
Isocrates (0010);Helen (009);39.5;ἐξὸν γὰρ αὐτοῖς λαμβάνειν ἐν ταῖς αὑτῶν πόλεσι γυναῖκας τὰς πρωτευούσας, ὑπεριδόντες τοὺς οἴκοι γάμους ἦλθον ἐκείνην μνηστεύσοντες.;ἔξεστι;73
Isocrates (0010);Helen (009);50.1;ἐξὸν δὲ τοῖς μὲν ἀποδοῦσιν Ἑλένην ἀπηλλάχθαι τῶν παρόντων κακῶν, τοῖς δ’ ἀμελήσασιν ἐκείνης ἀδεῶς οἰκεῖν τὸν ἐπίλοιπον χρόνον, οὐδέτεροι ταῦτ’ ἠθέλησαν·;ἔξεστι;90
Isocrates (0010);Letter 2 (027);11.1;μηδὲ ποιεῖσθαι πολέμους ἀδόξους καὶ χαλεπούς, ἐξὸν ἐντίμους καὶ ῥᾳδίους, μηδ’ ἐξ ὧν τοὺς μὲν οἰκειοτάτους εἰς λύπας καὶ φροντίδας καταστήσεις, τοὺς δ’ ἐχθροὺς ἐν ἐλπίσι μεγάλαις ποιήσεις, οἵας καὶ νῦν αὐτοῖς παρέσχες·;ἔξεστι;18
Isocrates (0010);Panegyricus (011);92.5;ἀθύμως γὰρ ἁπάντων τῶν συμμάχων διακειμένων, καὶ Πελοποννησίων μὲν διατειχιζόντων τὸν Ἰσθμὸν καὶ ζητούντων ἰδίαν αὑτοῖς σωτηρίαν, τῶν δ’ ἄλλων πόλεων ὑπὸ τοῖς βαρβάροις γεγενημένων καὶ συστρατευομένων ἐκείνοις, πλὴν εἴ τις διὰ μικρότητα παρημελήθη, προσπλεουσῶν δὲ τριήρων διακοσίων καὶ χιλίων καὶ πεζῆς στρατιᾶς ἀναριθμήτου μελλούσης εἰς τὴν Ἀττικὴν εἰσβάλλειν, οὐδεμιᾶς σωτηρίας αὐτοῖς ὑποφαινομένης, ἀλλ’ ἔρημοι συμμάχων γεγενημένοι καὶ τῶν ἐλπίδων ἁπασῶν διημαρτηκότες, ἐξὸν αὐτοῖς μὴ μόνον τοὺς παρόντας κινδύνους διαφυγεῖν ἀλλὰ καὶ τιμὰς ἐξαιρέτους λαβεῖν, ἃς αὐτοῖς ἐδίδου βασιλεὺς ἡγούμενος, εἰ τὸ τῆς πόλεως προσλάβοι ναυτικόν, παραχρῆμα καὶ Πελοποννήσου κρατήσειν, οὐχ ὑπέμειναν τὰς παρ’ ἐκείνου δωρεάς, οὐδ’ ὀργισθέντες τοῖς Ἕλλησιν ὅτι προὐδόθησαν ἀσμένως ἐπὶ τὰς διαλλαγὰς τὰς πρὸς τοὺς βαρβάρους ὥρμησαν, ἀλλ’ αὐτοὶ μὲν ὑπὲρ τῆς ἐλευθερίας πολεμεῖν παρεσκευάζοντο, τοῖς δ’ ἄλλοις τὴν δουλείαν αἱρουμένοις συγγνώμην εἶχον.;ἔξεστι;156
Isocrates (0010);Panegyricus (011);131.1;ἐπεὶ καὶ τοῦτ’ ἔχομεν αὐτοῖς ἐπιτιμᾶν, ὅτι τῇ μὲν αὑτῶν πόλει τοὺς ὁμόρους εἱλωτεύειν ἀναγκάζουσι, τῷ δὲ κοινῷ τῷ τῶν συμμάχων οὐδὲν τοιοῦτον κατασκευάζουσιν, ἐξὸν αὐτοῖς τὰ πρὸς ἡμᾶς διαλυσαμένοις ἅπαντας τοὺς βαρβάρους περιοίκους ὅλης τῆς Ἑλλάδος καταστῆσαι.;ἔξεστι;225
Isocrates (0010);Panegyricus (011);164.3;ἐκεῖνοι γὰρ ὑστερίσαντες τῶν βαρβάρων καὶ προέμενοί τινας τῶν συμμάχων ἠναγκάσθησαν ὀλίγοι πρὸς πολλοὺς κινδυνεύειν, ἐξὸν αὐτοῖς προτέροις διαβᾶσιν εἰς τὴν ἤπειρον μετὰ πάσης τῆς τῶν Ἑλλήνων δυνάμεως ἐν μέρει τῶν ἐθνῶν ἕκαστον χειροῦσθαι.;ἔξεστι;297
Isocrates (0010);Panegyricus (011);181.3;καὶ γὰρ αἰσχρὸν ἰδίᾳ μὲν τοῖς βαρβάροις οἰκέταις ἀξιοῦν χρῆσθαι, δημοσίᾳ δὲ τοσούτους τῶν συμμάχων περιορᾶν αὐτοῖς δουλεύοντας, καὶ τοὺς μὲν περὶ τὰ Τρωικὰ γενομένους μιᾶς γυναικὸς ἁρπασθείσης οὕτως ἅπαντας συνοργισθῆναι τοῖς ἀδικηθεῖσιν, ὥστε μὴ πρότερον παύσασθαι πολεμοῦντας πρὶν τὴν πόλιν ἀνάστατον ἐποίησαν τοῦ τολμήσαντος ἐξαμαρτεῖν, ἡμᾶς δ’ ὅλης τῆς Ἑλλάδος ὑβριζομένης μηδεμίαν ποιήσασθαι κοινὴν τιμωρίαν, ἐξὸν ἡμῖν εὐχῆς ἄξια διαπράξασθαι.;ἔξεστι;337
Isocrates (0010);To Philip (020);14.1;ἀλλὰ τοὺς μὲν ἄλλους ἑώρων τοὺς ἐνδόξους τῶν ἀνδρῶν ὑπὸ πόλεσι καὶ νόμοις οἰκοῦντας, καὶ οὐδὲν ἐξὸν αὐτοῖς ἄλλο πράττειν πλὴν τὸ προσταττόμενον, ἔτι δὲ πολὺ καταδεεστέρους ὄντας τῶν πραγμάτων τῶν ῥηθησομένων, σοὶ δὲ μόνῳ πολλὴν ἐξουσίαν ὑπὸ τῆς τύχης δεδομένην καὶ πρέσβεις πέμπειν πρὸς οὕς τινας ἂν βουληθῇς, καὶ δέχεσθαι παρ’ ὧν ἄν σοι δοκῇ, καὶ λέγειν ὅ τι ἂν ἡγῇ συμφέρειν, πρὸς δὲ τούτοις καὶ πλοῦτον καὶ δύναμιν κεκτημένον ὅσην οὐδεὶς τῶν Ἑλλήνων, ἃ μόνα τῶν ὄντων καὶ πείθειν καὶ βιάζεσθαι πέφυκεν·;ἔξεστι;19
Isocrates (0010);To Philip (020);124.1;ἐπεὶ νῦν γε τίς οὐκ ἂν εἰκότως τὰ συμβεβηκότα θαυμάσειε καὶ καταφρονήσειεν ἡμῶν, ὅπου παρὰ μὲν τοῖς βαρβάροις, οὓς ὑπειλήφαμεν μαλακοὺς εἶναι καὶ πολέμων ἀπείρους καὶ διεφθαρμένους ὑπὸ τῆς τρυφῆς, ἄνδρες ἐγγεγόνασιν οἳ τῆς Ἑλλάδος ἄρχειν ἠξίωσαν, τῶν δ’ Ἑλλήνων οὐδεὶς τοσοῦτον πεφρόνηκεν ὥστ’ ἐπιχειρῆσαι τῆς Ἀσίας ἡμᾶς ποιῆσαι κυρίους, ἀλλὰ τοσοῦτον αὐτῶν ἀπολελειμμένοι τυγχάνομεν, ὥστ’ ἐκεῖνοι μὲν οὐκ ὤκνησαν οὐδὲ προϋπάρξαι τῆς ἔχθρας τῆς πρὸς τοὺς Ἕλληνας, ἡμεῖς δ’ οὐδ’ ὑπὲρ ὧν κακῶς ἐπάθομεν ἀμύνεσθαι τολμῶμεν αὐτούς, ἀλλ’ ὁμολογούντων ἐκείνων ἐν ἅπασι τοῖς πολέμοις μήτε στρατιώτας ἔχειν μήτε στρατηγοὺς μήτ’ ἄλλο μηδὲν τῶν εἰς τοὺς κινδύνους χρησίμων, ἀλλὰ ταῦτα πάντα παρ’ ἡμῶν μεταπεμπομένων, εἰς τοῦθ’ ἥκομεν ἐπιθυμίας τοῦ κακῶς ἡμᾶς αὐτοὺς ποιεῖν, ὥστ’ ἐξὸν ἡμῖν τἀκείνων ἀδεῶς ἔχειν πρὸς ἡμᾶς τ’ αὐτοὺς περὶ μικρῶν πολεμοῦμεν, καὶ τοὺς ἀφισταμένους τῆς ἀρχῆς τῆς βασιλέως συγκαταστρεφόμεθα, καὶ λελήθαμεν ἡμᾶς αὐτοὺς ἐνίοτε μετὰ τῶν πατρικῶν ἐχθρῶν τοὺς τῆς αὐτῆς συγγενείας μετέχοντας ἀπολλύναι ζητοῦντες.;ἔξεστι;264
Lysias (0540);Against Andocides (006);13.8;ὑμεῖς οὖν μὴ βούλεσθε εἰς ὑμᾶς τὴν αἰτίαν ταύτην περιτρέψαι, ἐξὸν τὸν ἀδικοῦντα κολάσασιν ἀπηλλάχθαι.;ἔξεστι;29
Lysias (0540);Against Nicomachus (030);4.1;καὶ γάρ τοι, ὦ ἄνδρες δικασταί, ἐπειδὴ ἐκείνων δίκην οὐ δέδωκεν, ὁμοίαν καὶ νῦν τὴν ἀρχὴν κατεστήσατο, ὅστις πρῶτον μὲν τέτταρα ἔτη ἀνέγραψεν, ἐξὸν αὐτῷ τριάκοντα ἡμερῶν ἀπαλλαγῆναι·;ἔξεστι;9
Lysias (0540);Against Theomnestus 1 (010);1.2;πολλοὺς γὰρ ὑμῶν ὁρῶ δικάζοντας τῶν τότε παρόντων, ὅτε Λυσίθεος Θεόμνηστον εἰσήγγελλε τὰ ὅπλα ἀποβεβληκότα, οὐκ ἐξὸν αὐτῷ, δημηγορεῖν·;ἔξεστι;2
Lysias (0540);Defense Against a Charge of Subverting the Democracy (025);14.5;καίτοι εἰ μὲν ἐξόν μοι ἄρχειν μὴ ἐβουλόμην, ὑφ’ ὑμῶν νυνὶ τιμᾶσθαι δίκαιός εἰμι·;ἔξεστι;35
Lysias (0540);Defense Against a Charge of Subverting the Democracy (025);18.1;ἡγοῦμαι δέ, ὦ ἄνδρες δικασταί, οὐκ ἂν δικαίως ὑμᾶς μισεῖν τοὺς ἐν τῇ ὀλιγαρχίᾳ μηδὲν πεπονθότας κακόν, ἐξὸν ὀργίζεσθαι τοῖς εἰς τὸ πλῆθος ἐξημαρτηκόσιν, οὐδὲ τοὺς μὴ φυγόντας ἐχθροὺς νομίζειν, ἀλλὰ τοὺς ὑμᾶς ἐκβαλόντας, οὐδὲ τοὺς προθυμουμένους τὰ ἑαυτῶν σῶσαι, ἀλλὰ τοὺς τὰ τῶν ἄλλων ἀφῃρημένους, οὐδὲ οἳ τῆς σφετέρας αὐτῶν σωτηρίας ἕνεκα ἔμειναν ἐν τῷ ἄστει, ἀλλ’ οἵτινες ἑτέρους ἀπολέσαι βουλόμενοι μετέσχον τῶν πραγμάτων.;ἔξεστι;45
Lysias (0540);Defense in the Matter of the Olive Stump (007);27.1;καὶ οὐ λέγω ὡς τότε δυνάμενος ἢ ὡς νῦν διαβεβλημένος, ἀλλ’ ὡς τῷ βουλομένῳ τότε μᾶλλον ἐξὸν ἀδικεῖν ἢ νυνί.;ἔξεστι;67
